id,submitted,A1_role,A2_age,A3_gender,A4_school,A5_origin,A6_courses,A7_hours,A8_access__none,A8_access__screenreader,A8_access__captions,A8_access__dyslexia,A8_access__motor,A8_access__contrast,A8_access__na,A9_tech,B1_freq,B2_devices__laptop,B2_devices__desktop,B2_devices__phone_browser,B2_devices__phone_app,B2_devices__tablet,B3_primary,B4_session,B5_features__announcements,B5_features__assignments,B5_features__grades,B5_features__modules,B5_features__calendar,B5_features__inbox,B5_features__discussions,B5_features__quizzes,B5_features__recordings,B5_features__groups,B5_features__syllabus,B5_features__none,B6_deadline__canvas_cal,B6_deadline__email,B6_deadline__push,B6_deadline__in_class,B6_deadline__peer,B6_deadline__syllabus,B6_deadline__own_cal,B6_deadline__late,B7_notif,B8_lost,B9_tools__paper,B9_tools__calendar,B9_tools__notes,B9_tools__chat,B9_tools__email,B9_tools__none,C1_find_fast,C2_find_slow,C3_notif_useful,C4_notif_noise,C5_mobile,C6_consistent,C7_uptodate,C8_confident,C9_accessible,C10_group,C11_satisfaction,C12_ease,D1_rank__materials,D1_rank__deadlines,D1_rank__grades,D1_rank__communication,D1_rank__recordings,D1_rank__groupwork,E1_frustrate,E2_helped,E3_more,PC1,PC2,Segment
R011,2026-09-08 23:14,msc,17-20,female,tisem,nl,4,9-16,1,0,0,0,0,0,0,7,several,1,1,0,1,0,phone,2-5,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,push,0,0,1,0,1,0,0,4,4,5,6,4,6,5,4,6,3,4,3,3,1,2,4,5,6,Wanted to see what is due this week across all my courses. The dashboard cards each show something different and the calendar only shows things the teacher put a date on.,,I basically live in WhatsApp groups for each course; that's where the real info is.,-2.868,-0.913,S1 Deadline Sprinters
R012,2026-09-09 00:21,msc,25-29,male,tshd,nl,4,17-24,1,0,0,0,0,0,0,4,2-3,1,0,0,1,0,phone,15-30,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,email,4-6,0,1,0,1,0,0,4,2,4,5,4,2,3,3,4,3,3,4,4,1,3,5,2,6,Notification emails arrive during my working hours and are gone from my head by the evening. I have missed two small deadlines that way.,"Seeing on Sunday evening exactly what is due in the coming week, at least for the courses that date their assignments.",a weekly digest of what changed and what is due.,0.177,-2.707,S3 Overloaded Jugglers
R013,2026-09-09 01:46,phd,21-24,na,tls,nl,2,0,1,0,0,0,0,0,0,5,several,1,0,1,0,0,laptop,15-30,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,email,1,0,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,5,3,1,3,4,5,2,6,nothing really,,,0.791,1.322,S2 Structured Scholars
R014,2026-09-09 02:09,bsc,21-24,male,tisem,nl,6+,17-24,0,1,0,0,0,0,0,5,daily,1,0,1,0,0,laptop,gt30,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,email,2-3,0,1,1,1,1,0,1,6,3,4,2,1,5,5,1,5,3,3,1,2,3,5,4,6,"Scanned PDFs uploaded as images: my screen reader reads nothing, and the text-to-speech I use for dyslexia can't read them either.",,,2.59,0.625,S6 Access-First Learners
R015,2026-09-09 03:06,bsc,25-29,male,tshd,eu,3,9-16,1,0,0,0,0,0,0,5,4-6,1,0,0,1,0,phone,2-5,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,push,1,0,0,0,1,1,0,5,2,5,6,3,4,4,6,5,3,4,4,3,2,6,4,5,1,Wanted to see what is due this week across all my courses. The dashboard cards each show something different and the calendar only shows things the teacher put a date on.,Nothing specific.,,-2.239,-0.635,S1 Deadline Sprinters
R016,2026-09-09 04:04,bsc,17-20,female,tshd,eu,4,1-8,1,0,0,0,0,0,0,6,daily,1,0,0,1,0,phone,lt2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,push,0,0,1,0,1,1,0,5,3,6,6,2,2,5,7,4,3,4,3,3,1,2,4,5,6,"Notification said 'new comment on your submission'. I opened it, no comment visible. Had to open it on a laptop to see the feedback.",When the teacher replied to my comment on my submission I saw it immediately in the app.,,-3.233,-0.566,S1 Deadline Sprinters
R017,2026-09-09 09:09,bsc,21-24,female,tls,nl,4,9-16,1,0,0,0,0,0,0,7,daily,1,0,0,1,0,phone,lt2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,inapp,1,0,1,0,1,1,0,4,3,5,7,3,5,5,3,5,5,5,3,4,1,3,2,5,6,I wanted to quickly check if the lecture was cancelled. Had to go dashboard > course > announcements > scroll. Three taps too many when you are on the bus.,Seeing the exact time left before a deadline on the assignment page.,,-3.206,-2.275,S1 Deadline Sprinters
R018,2026-09-09 09:22,msc,25-29,male,tls,nl,4,9-16,1,0,0,0,0,0,0,4,4-6,1,0,0,1,1,laptop,5-15,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,email,1,1,0,1,0,0,0,3,4,5,5,3,2,4,6,6,2,4,4,1,3,4,6,2,5,"Downloaded all the slides for Consumer Behaviour to make notes; every file had a different naming scheme, so sorting them in my notes app was manual work.",Downloading all files of a module in one zip.,,0.704,1.077,S2 Structured Scholars
R019,2026-09-09 09:34,msc,30-39,male,tisem,noneu,2,0,1,0,0,0,0,0,0,5,several,1,0,1,0,0,laptop,gt30,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,inapp,0,0,1,1,1,1,0,1,7,3,5,5,3,4,5,6,3,3,2,1,3,4,6,2,5,"Modules is one long scroll. There is no overview of the course structure, no 'you are here' and no way to collapse everything with one click.",,I use Notion for everything and Canvas is just the place where files live.,2.556,1.847,S2 Structured Scholars
R020,2026-09-09 09:49,msc,17-20,female,tsb,eu,2,0,1,0,0,0,0,0,0,5,several,1,0,1,0,0,phone,2-5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,push,2-3,0,0,0,1,0,0,3,4,4,6,5,4,5,7,4,2,4,3,3,1,2,4,5,6,"Tried to find the slides for last week on my phone. Modules is a giant list, you scroll for ages, and half the folders are named 'Week X' and half 'Lecture X'.",The To-do list saved me once: I had forgotten about a quiz and it was there.,Dark mode.,-1.609,-0.673,S1 Deadline Sprinters
R021,2026-09-09 10:14,msc,21-24,female,tshd,noneu,2,9-16,0,0,0,0,0,0,1,5,daily,1,0,0,1,0,laptop,5-15,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,email,0,0,1,1,0,0,0,3,5,4,6,4,1,5,6,5,4,3,4,1,3,4,6,2,5,The syllabus page was empty in 3 of my 4 courses. The actual course guide was a PDF somewhere in Files.,Having every submission I ever made in one place when I wrote my thesis.,,1.014,1.616,S2 Structured Scholars
R022,2026-09-09 11:29,phd,25-29,female,tst,nl,1,0,1,0,0,0,0,0,0,5,4-6,1,0,0,1,0,laptop,gt30,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,push,2-3,0,1,1,0,0,0,3,6,2,4,5,3,4,5,5,5,3,4,1,3,4,6,2,5,"Annotating a PDF in the built-in viewer is impossible, and downloading each one separately to Zotero takes forever.",,,2.535,1.641,S2 Structured Scholars
R023,2026-09-09 11:29,msc,21-24,male,tsb,eu,3,1-8,1,0,0,0,0,0,0,6,daily,0,1,0,1,0,desktop,15-30,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,email,0,0,1,0,0,0,0,3,5,4,5,2,2,3,4,4,5,4,4,1,3,5,4,2,6,"Discussions are a mess for seminar prep: threads collapse, and there's no way to see what changed since I last visited.",Having every submission I ever made in one place when I wrote my thesis.,,1.143,1.02,S2 Structured Scholars
R024,2026-09-09 11:53,lecturer,40-49,female,tst,nl,1,0,1,0,0,0,0,0,0,4,2-3,1,1,0,0,0,desktop,5-15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,email,2-3,0,1,0,1,1,0,3,6,4,6,3,3,5,3,6,5,2,2,2,1,5,3,4,6,"Sending an announcement: I wrote it, clicked something and it disappeared. The second time I wrote it in Word first","Not much, it does the job.",,1.753,-1.743,S5 Reluctant Instructors
R025,2026-09-09 11:59,phd,25-29,female,tsb,eu,2,1-8,1,0,0,0,0,0,0,7,daily,1,0,0,0,0,laptop,gt30,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,inapp,0,0,1,1,0,0,0,2,4,2,5,4,2,5,6,5,5,2,4,1,4,3,6,2,5,"i wanted to re-watch the part of the Statistics 2 lecture about coding the interviews. No chapters, no transcript search, so I scrubbed through 90 minutes.",A discussion where the lecturer pinned the answers to common questions before the exam.,Consistency between courses would fix most of my problems.,1.677,3.097,S2 Structured Scholars
R026,2026-09-09 12:44,msc,21-24,male,tshd,noneu,3,1-8,1,0,0,0,0,0,0,6,4-6,1,0,1,1,0,laptop,15-30,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,email,0,0,1,1,1,1,0,5,3,3,4,5,3,4,6,5,2,4,3,1,3,4,5,2,6,"Search in Canvas only searches the current course, and only some things. I wanted a formula from a slide two weeks ago and ended up opening every PDF.",,Consistency between courses would fix most of my problems.,1.041,1.423,S2 Structured Scholars
R027,2026-09-09 13:26,phd,21-24,male,tshd,eu,1,0,1,0,0,0,0,0,0,7,daily,1,0,0,0,1,laptop,5-15,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,off,2-3,0,1,1,1,0,0,3,5,5,3,3,1,4,7,6,5,4,5,1,3,4,5,2,6,I keep a Notion page per course because the Canvas page for Cognitive Science has no structure I can rely on.,A discussion where the lecturer pinned the answers to common questions before the exam.,Please make lecturers date their assignments.,0.307,2.961,S2 Structured Scholars
R028,2026-09-09 13:46,lecturer,40-49,female,tshd,nl,1,0,1,0,0,0,0,0,0,6,several,1,0,0,1,0,desktop,15-30,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,email,1,1,1,0,0,1,0,6,1,2,4,3,2,6,7,5,3,5,2,1,5,2,3,4,6,"The gradebook export used commas as decimal separators in some columns and dots in others, and the import back rejected half of them.",Scheduling all announcements for the block in one go,I spend more time on course admin than on teaching content.,-0.603,2.912,S4 Power Instructors
R029,2026-09-09 15:52,lecturer,50+,female,tisem,nl,2,1-8,0,0,0,0,0,0,1,5,several,1,0,0,0,0,laptop,gt30,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,email,1,1,1,0,0,1,0,5,3,4,5,2,2,4,6,5,2,5,3,2,4,1,3,5,6,"Making groups for the project: the random assignment didn't respect the tutorial sections, so I did it in Excel and re-entered it","Students see their grades and feedback at the same moment, no more 200 emails.",Better analytics per tutorial group.,-1.096,1.546,S4 Power Instructors
R030,2026-09-09 18:05,bsc,21-24,male,tshd,nl,3,9-16,1,0,0,0,0,0,0,6,several,1,0,1,1,1,laptop,lt2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,off,1,0,0,1,1,0,0,4,5,6,6,5,2,3,7,6,3,6,4,3,1,2,4,5,6,the app logged me out again and the 2FA code took forever. By the time I was in I forgot what I wanted to check.,Submitting a photo of my handwritten answers from the app worked surprisingly smoothly.,,-2.621,-0.135,S1 Deadline Sprinters
R031,2026-09-09 18:32,lecturer,50+,female,tisem,noneu,3,1-8,1,0,0,0,0,0,0,4,daily,1,1,0,1,0,desktop,gt30,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,email,0,1,1,1,0,1,0,4,4,5,5,2,5,5,5,6,5,3,5,2,4,1,3,6,5,Grading 180 submissions in SpeedGrader: the page reloads for every student and the rubric panel collapses each time. Two clicks that cost me hours.,"The analytics showed me that half the class had not opened the reader before the seminar, so I changed the plan.",,-1.471,1.555,S4 Power Instructors
R032,2026-09-09 19:09,msc,17-20,female,tshd,eu,2,1-8,1,0,0,0,0,0,0,6,daily,1,0,0,1,0,phone,2-5,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,push,0,0,0,1,1,0,0,3,6,5,6,2,1,4,7,7,4,3,4,3,1,2,4,5,6,"Got a push notification at 23:40 about a new announcement, opened it and it was a reminder that the lecture room changed... for a lecture that was already over.",Submitting a photo of my handwritten answers from the app worked surprisingly smoothly.,,-2.374,-0.138,S1 Deadline Sprinters
R033,2026-09-09 19:56,ta,25-29,female,other,eu,2,9-16,1,0,0,0,0,0,0,5,several,1,1,1,0,0,desktop,gt30,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,email,4-6,0,1,1,0,1,0,2,7,4,6,3,4,6,6,4,2,2,4,3,4,1,2,6,5,"Uploading lecture recordings means going to another platform, then linking back. Half the students never find the link.","speedGrader with a rubric: grading 60 essays in an afternoon, with reusable comments.","Bulk actions everywhere: due dates, messages, rubrics.",0.503,0.981,S4 Power Instructors
R034,2026-09-09 21:59,bsc,25-29,female,tshd,nl,4,1-8,1,0,0,0,0,0,0,6,several,1,0,0,1,0,phone,lt2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,inapp,1,1,1,0,0,0,0,5,2,4,4,3,3,5,5,7,6,6,4,3,2,1,6,5,4,Wanted to check if my Human-Computer Interaction grade was in during the break. The app showed the assignment as 'graded' but the number only appeared after I logged in on my laptop that evening.,Checking a grade in 5 seconds while waiting for coffee.,One overview of all deadlines for all courses please.,-4.256,0.886,S1 Deadline Sprinters
R035,2026-09-09 23:44,msc,21-24,male,tshd,nl,3,25+,1,0,0,0,0,0,0,6,2-3,0,0,1,1,0,laptop,2-5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,email,1,0,1,0,0,0,0,1,7,3,5,5,3,3,5,5,3,2,3,3,1,4,5,2,6,"Tried to catch up on Text Mining after two weeks with my kid sick. There's no 'what did I miss' view, so I opened every module item one by one.","The e-mail digest once a day instead of every announcement, once I found the setting.",Deadlines on Friday 17:00 instead of Sunday 23:59 would help students with jobs.,2.107,-1.759,S3 Overloaded Jugglers
R036,2026-09-10 01:23,lecturer,30-39,male,tls,nl,1,0,1,0,0,0,0,0,0,3,lt1,1,1,0,0,0,desktop,5-15,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,email,1,1,1,0,0,1,0,3,6,3,5,1,4,4,4,5,3,4,2,1,3,4,2,5,6,Tried to publish the course before the block started. Everything looked fine to me but students said it was invisible. There was a small 'unpublished' icon I did not see.,,No.,1.775,-1.471,S5 Reluctant Instructors
R037,2026-09-10 02:18,lecturer,40-49,male,tshd,nl,3,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,laptop,2-5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,inapp,0,0,1,1,0,0,0,5,2,4,4,2,3,3,1,4,4,4,2,1,3,4,2,5,6,I wanted to enter grades. The gradebook has dozens of columns and I entered them in the wrong assignment column. The education office had to help.,The TA set everything up and I only had to click publish.,Let students see my office hours easily.,0.787,-1.881,S5 Reluctant Instructors
R038,2026-09-10 06:30,bsc,17-20,female,tshd,na,4,1-8,0,0,1,0,0,0,0,5,several,0,0,1,1,0,phone,lt2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,email,0,0,1,0,1,1,0,3,4,4,6,3,5,4,6,5,3,6,3,3,2,1,4,6,5,"Tried to find the slides for last week on my phone. Modules is a giant list, you scroll for ages, and half the folders are named 'Week X' and half 'Lecture X'",,Just make everything work on the phone.,-3.459,-0.656,S1 Deadline Sprinters
R039,2026-09-10 07:42,bsc,17-20,male,tsb,noneu,6+,9-16,1,0,0,0,0,0,0,7,several,0,0,0,1,0,phone,2-5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,inapp,0,1,1,0,1,0,0,4,4,5,3,3,3,5,7,5,4,5,4,2,3,1,4,6,5,Looking for the room number for the Data Mining exam. It was in an announcement from 3 weeks ago and the app search didn't find it. A friend sent a screenshot on WhatsApp.,The announcement about the room change came right before the lecture; I would have gone to the wrong building.,,-3.105,1.777,S1 Deadline Sprinters
R040,2026-09-10 08:39,bsc,21-24,na,tshd,nl,5,0,0,0,1,1,0,0,0,6,daily,1,0,1,0,0,laptop,5-15,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,email,0,0,1,0,0,0,0,1,7,4,5,3,2,4,5,1,2,2,2,1,3,4,5,2,6,Trying to enlarge the text on my phone: the app ignores the system font size setting.,The immersive reader in my browser works fine on Canvas pages when they are real text.,"Accessibility depends entirely on the lecturer. The system should enforce headings, alt text and captions.",3.132,0.811,S6 Access-First Learners
R041,2026-09-10 09:18,lecturer,25-29,male,tshd,eu,1,9-16,1,0,0,0,0,0,0,5,several,1,0,0,0,0,desktop,15-30,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,email,2-3,1,1,0,1,1,0,6,2,3,6,3,5,7,6,5,3,5,4,2,3,1,4,6,5,"I get an email for every single submission. I turned notifications off, and then missed a student's question in the Inbox for a week.",Quiz auto-grading for the weekly checks saves me hours per week.,,-2.213,1.424,S4 Power Instructors
R042,2026-09-10 09:19,msc,21-24,female,other,eu,3,0,1,0,0,0,0,0,0,7,daily,1,0,0,0,0,laptop,5-15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,email,0,0,1,1,1,0,0,3,6,3,2,4,3,4,6,5,5,4,4,1,3,4,5,2,6,Notifications for every reply in a discussion I posted in once. Had to dig into settings to find out how to mute one course.,Recordings with the slide timeline let me jump to the part I needed.,,1.034,2.557,S2 Structured Scholars
R043,2026-09-10 13:34,msc,21-24,female,tshd,eu,3,9-16,1,0,0,0,0,0,0,5,several,1,0,0,1,0,tablet,lt2,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,off,1,0,1,1,1,0,0,3,5,4,6,3,3,3,7,5,4,5,3,3,1,2,5,4,6,The app shows the To-do list but tapping an item opens a web view where I have to log in again.,"Not much, it does the job.","Fewer emails, more useful pushes.",-1.768,-0.692,S1 Deadline Sprinters
R044,2026-09-10 13:47,bsc,17-20,female,tshd,nl,4,0,1,0,0,0,0,0,0,4,4-6,1,0,1,1,0,phone,lt2,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,push,4-6,0,1,0,0,0,0,5,1,6,7,2,3,4,7,6,5,5,4,3,1,2,4,5,6,Tried to submit the Developmental Psychology assignment from my phone 10 minutes before the deadline. The file picker didn't let me pick the PDF from my drive and I had to run to the library.,"The push notification that my Programming 1 grade was published, right when I was on the train.",,-3.928,-1.434,S1 Deadline Sprinters
R045,2026-09-10 16:54,msc,17-20,female,tisem,eu,2,9-16,1,0,0,0,0,0,0,5,several,0,0,0,1,0,phone,lt2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,email,1,0,1,0,1,0,0,4,3,4,5,2,5,3,6,6,3,5,3,3,1,2,5,6,4,"slow to load on the campus wifi, especially the Files page.",Submitting a photo of my handwritten answers from the app worked surprisingly smoothly.,,-3.668,-1.18,S1 Deadline Sprinters
R046,2026-09-10 19:32,staff,50+,female,tls,nl,6+,9-16,1,0,0,0,0,0,0,2,1,1,1,0,0,1,desktop,15-30,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,email,2-3,1,1,0,0,1,0,5,2,3,5,2,4,5,1,4,2,3,2,1,3,4,2,6,5,"we maintain a course template, but lecturers can delete the structure with one click and then the support questions start.",,,1.795,-2.381,S5 Reluctant Instructors
R047,2026-09-10 19:54,msc,40-49,female,tst,nl,2,25+,1,0,0,0,0,0,0,4,2-3,1,0,1,1,0,phone,5-15,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,email,2-3,1,1,0,1,0,0,4,5,3,5,5,3,5,3,4,4,3,3,5,2,3,6,1,4,"Missed a group meeting because the invite was only posted in the Canvas group discussion, and I don't get emails for those.",Reminders for deadlines.,,0.479,-2.245,S3 Overloaded Jugglers
R048,2026-09-10 22:50,ta,30-39,male,tsb,nl,1,0,1,0,0,0,0,0,0,7,several,1,1,0,0,0,desktop,gt30,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,email,2-3,0,1,0,0,1,0,3,5,4,6,1,5,5,6,7,4,6,2,1,5,2,3,6,4,Peer review assignment: I could not see who was assigned to whom without opening every submission.,Quiz auto-grading for the weekly checks saves me hours per week.,,-1.292,2.957,S4 Power Instructors
R049,2026-09-10 22:57,msc,40-49,male,tisem,eu,5,25+,1,0,0,0,0,0,0,5,2-3,0,0,1,0,0,phone,5-15,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,dontknow,2-3,0,0,0,0,1,0,2,5,3,5,3,5,4,5,4,5,3,3,4,2,1,5,3,6,I submitted the Developmental Psychology assignment from my phone during my lunch break and got no confirmation email. Spent the whole shift wondering if it went through.,"Seeing on Sunday evening exactly what is due in the coming week, at least for the courses that date their assignments.",I have two kids. I need to know in one minute whether anything changed,-0.494,-2.08,S3 Overloaded Jugglers
